Applicability,Service,Indicator,Value
All,Fitbit,Name of the service provider,Google
All,Fitbit,Date of the publication of the report,2026-02-27
All,Fitbit,Date of the publication of the latest previous report,2025-08-28
All,Fitbit,Starting date of reporting period,2025-07-01
All,Fitbit,Ending date of reporting period,2025-12-31
