Applicability,Service,Indicator,Value
All,Looker,Name of the service provider,Google
All,Looker,Date of the publication of the report,2026-02-27
All,Looker,Date of the publication of the latest previous report,2025-08-28
All,Looker,Starting date of reporting period,2025-07-01
All,Looker,Ending date of reporting period,2025-12-31
