Applicability,Service,Indicator,Value
All,VRBO,Name of the service provider,EG Vacation Rentals Ireland Limited
All,VRBO,Date of the publication of the report,2026-02-27 00:00:00
All,VRBO,Date of the publication of the latest previous report,2025-03-18 00:00:00
All,VRBO,Starting date of reporting period,2025-01-01 00:00:00
All,VRBO,Ending date of reporting period,2025-12-31 00:00:00
