Applicability,Service,Indicator,Value
All,Hotels.com,Name of the service provider,"Hotels.com, L.P."
All,Hotels.com,Date of the publication of the report,2026-02-27 00:00:00
All,Hotels.com,Date of the publication of the latest previous report,2025-03-18 00:00:00
All,Hotels.com,Starting date of reporting period,2025-01-01 00:00:00
All,Hotels.com,Ending date of reporting period,2025-12-31 00:00:00
