Warns,,,,,,
,,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,,
Child Safety,"1,491",347,"52,417",,,
Deceptive Practices,240,2,2,,,
Exploitative and Unsolicited Content,"1,126",87,"1,324,649",,,
Harassment and Bullying,"3,699",261,"24,439",,,
Hateful Conduct,"1,421",472,"53,818",,,
Identity and Authenticity,23,1,2,,,
Platform Manipulation,144,32,191,,,
Regulated or Illegal Activities,6,17,"589,206",,,
Self-Harm Concerns,189,2,3,,,
Violent and Graphic Content,"1,314",337,"42,099",,,
Violent Extremism,99,37,0,,,
,,,,,,
Total:,"9,752","1,595","2,086,826",,,
,,,,,,
Accounts Disabled,,,,,,
,,,,,,
Accounts Disabled Category,Accounts Disabled,,,,,
Child Safety,"826,591",,,,,
Deceptive Practices,"5,091",,,,,
Exploitative and Unsolicited Content,"146,897",,,,,
Harassment and Bullying,"13,423",,,,,
Hateful Conduct,"8,806",,,,,
Identity and Authenticity,154,,,,,
Platform Manipulation,"2,905",,,,,
Regulated or Illegal Activities,"19,699",,,,,
Self-Harm Concerns,"1,795",,,,,
Violent and Graphic Content,"16,069",,,,,
Violent Extremism,"12,928",,,,,
,,,,,,
Total:,"1,054,358",,,,,
,,,,,,
NCMEC,,,,,,
,,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,,
January,"3,648",17,"3,665",,,
February,"2,085",19,"2,104",,,
March,"4,908",18,"4,926",,,
,,,,,,
Total,"10,641",54,"10,695",,,
,,,,,,
Servers Removed,,,,,,
,,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,,
Child Safety,"15,788","8,918","24,706",,,
Deceptive Practices,322,"1,475","1,797",,,
Exploitative and Unsolicited Content,"1,248","2,277","3,525",,,
Harassment and Bullying,82,634,716,,,
Hateful Conduct,268,697,965,,,
Identity and Authenticity,5,11,16,,,
Platform Manipulation,273,699,972,,,
Regulated or Illegal Activities,"2,012","2,015","4,027",,,
Self-Harm Concerns,42,552,594,,,
Violent and Graphic Content,299,"1,358","1,657",,,
Violent Extremism,425,609,"1,034",,,
,,,,,,
Total:,"20,764","19,245","40,009",,,
,,,,,,
Appeals,,,,,,
,,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted,% Accounts Unbanned
Child Safety,"826,591","70,711",8.55%,947,1.34%,0.11%
Deceptive Practices,"5,091","1,738",34.14%,143,8.23%,2.81%
Exploitative and Unsolicited Content,"146,897","15,524",10.57%,231,1.49%,0.16%
Harassment and Bullying,"13,423","5,526",41.17%,218,3.94%,1.62%
Hateful Conduct,"8,806","3,439",39.05%,110,3.20%,1.25%
Identity and Authenticity,154,29,18.83%,8,27.59%,5.19%
Platform Manipulation,"2,905",715,24.61%,49,6.85%,1.69%
Regulated or Illegal Activities,"19,699","5,467",27.75%,334,6.11%,1.70%
Self-Harm Concerns,"1,795",834,46.46%,15,1.80%,0.84%
Violent and Graphic Content,"16,069","5,681",35.35%,175,3.08%,1.09%
Violent Extremism,"12,928","3,567",27.59%,45,1.26%,0.35%
,,,,,,
Sum:,"1,054,358","113,231",10.74%,2275,2.01%,0.22%
,,,,,,
Reports,,,,,,
,,,,,,
Report Category,Reports Received,Reports Actioned,% of Reports Actioned,,,
Child Safety,"22,720","13,369",58.84%,,,
Deceptive Practices,"14,713","3,777",25.67%,,,
Exploitative and Unsolicited Content,"13,398","5,199",38.80%,,,
Harassment and Bullying,"44,453","3,948",8.88%,,,
Hateful Conduct,"25,240","6,444",25.53%,,,
Identity and Authenticity,"6,280","2,607",41.51%,,,
Platform Manipulation,"28,360","1,208",4.26%,,,
Regulated or Illegal Activities,"8,886","2,232",25.12%,,,
Self-Harm Concerns,"5,663",599,10.58%,,,
Violent and Graphic Content,"5,601","2,301",41.08%,,,
Violent Extremism,"3,100","2,282",73.61%,,,
,,,,,,
Total:,"178,414","43,966",24.64%,,,
,,,,,,
Legal,,,,,,
,,,,,,
Request Type,Requests,Information Produced,,,,
Court Orders,17,16,,,,
Pen Register / Trap and Trace,0,0,,,,
Search Warrants,405,386,,,,
Subpoenas,472,394,,,,
,,,,,,
Total,894,796,,,,
,,,,,,
Request Type,Requests,Complied,,,,
Preservation Requests,552,500,,,,
