Warns,,,,,,
,,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,,
Child Safety,"4,206","1,307","23,507",,,
Deceptive Practices,157,2,0,,,
Exploitative and Unsolicited Content,"3,374",259,"621,543",,,
Harassment and Bullying,"3,175",271,"15,775",,,
Hateful Conduct,"1,323",427,"61,540",,,
Identity and Authenticity,17,0,0,,,
Misinformation,18,8,"2,777",,,
Platform Manipulation,61,19,76,,,
Regulated or Illegal Activities,1,8,"761,835",,,
Self-Harm Concerns,224,0,0,,,
Violent and Graphic Content,"1,006",323,"59,790",,,
Violent Extremism,0,0,0,,,
,,,,,,
Total:,"13,562","2,624","1,546,843",,,
,,,,,,
Accounts Disabled,,,,,,
,,,,,,
Accounts Disabled Category,Accounts Disabled,,,,,
Child Safety,"532,498",,,,,
Deceptive Practices,"6,150",,,,,
Exploitative and Unsolicited Content,"106,645",,,,,
Harassment and Bullying,"13,779",,,,,
Hateful Conduct,"5,719",,,,,
Identity and Authenticity,148,,,,,
Misinformation,270,,,,,
Platform Manipulation,"3,400",,,,,
Regulated or Illegal Activities,"27,494",,,,,
Self-Harm Concerns,"2,495",,,,,
Violent and Graphic Content,"15,630",,,,,
Violent Extremism,"12,531",,,,,
,,,,,,
Total:,"726,759",,,,,
,,,,,,
NCMEC,,,,,,
,,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,,
January,"3,648",17,"3,665",,,
February,"2,085",19,"2,104",,,
March,"4,908",18,"4,926",,,
,,,,,,
Total,"10,641",54,"10,695",,,
,,,,,,
Servers Removed,,,,,,
,,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,,
Child Safety,"11,810","3,353","15,163",,,
Deceptive Practices,491,"1,186","1,677",,,
Exploitative and Unsolicited Content,849,"1,477","2,326",,,
Harassment and Bullying,43,555,598,,,
Hateful Conduct,136,577,713,,,
Identity and Authenticity,3,9,12,,,
Misinformation,42,31,73,,,
Platform Manipulation,59,292,351,,,
Regulated or Illegal Activities,"2,777","1,864","4,641",,,
Self-Harm Concerns,100,520,620,,,
Violent and Graphic Content,171,"1,115","1,286",,,
Violent Extremism,266,644,910,,,
,,,,,,
Total:,"16,747","11,623","28,370",,,
,,,,,,
Appeals,,,,,,
,,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted,% Accounts Unbanned
Child Safety,"532,498","92,408",17.35%,293,0.32%,0.06%
Deceptive Practices,"6,150",960,15.61%,17,1.77%,0.28%
Exploitative and Unsolicited Content,"106,645","11,099",10.41%,279,2.51%,0.26%
Harassment and Bullying,"13,779","4,410",32.01%,25,0.57%,0.18%
Hateful Conduct,"5,719","1,696",29.66%,8,0.47%,0.14%
Identity and Authenticity,148,20,13.51%,0,0.00%,0.00%
Misinformation,270,71,,0,,
Platform Manipulation,"3,400",299,8.79%,7,2.34%,0.21%
Regulated or Illegal Activities,"27,494","4,609",16.76%,77,1.67%,0.28%
Self-Harm Concerns,"2,495",590,23.65%,1,0.17%,0.04%
Violent and Graphic Content,"15,630","3,922",25.09%,24,0.61%,0.15%
Violent Extremism,"12,531","2,630",20.99%,2,0.08%,0.02%
,,,,,,
Sum:,"726,759","122,714",16.89%,733,0.60%,0.10%
,,,,,,
Reports,,,,,,
,,,,,,
Report Category,Reports Received,Reports Actioned,% of Reports Actioned,,,
Child Safety,"27,980","15,972",57.08%,,,
Deceptive Practices,"30,976","4,016",12.96%,,,
Exploitative and Unsolicited Content,"10,555","1,835",17.39%,,,
Harassment and Bullying,"38,148","5,974",15.66%,,,
Hateful Conduct,"22,291","1,001",4.49%,,,
Identity and Authenticity,"4,178",962,23.03%,,,
Misinformation,835,241,28.86%,,,
Platform Manipulation,"3,988",288,7.22%,,,
Regulated or Illegal Activities,"5,080","1,199",23.60%,,,
Self-Harm Concerns,"1,931",137,7.09%,,,
Violent and Graphic Content,"4,417",1546,35.00%,,,
Violent Extremism,"3,171","1,175",37.05%,,,
,,,,,,
Total:,"153,550","34,346",22.37%,,,
,,,,,,
Legal,,,,,,
,,,,,,
Request Type,Requests,Information Produced,,,,
Court Orders,19,13,,,,
Pen Register / Trap and Trace,1,0,,,,
Search Warrants,407,392,,,,
Subpoenas,574,484,,,,
,,,,,,
Total,"1,001",889,,,,
,,,,,,
Request Type,Requests,Complied,,,,
Preservation Requests,646,559,,,,
