Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of internal moderators employed by the provider,Total number
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of external moderators contracted by the provider,Total number
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,Total number
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,bg
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,hr
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,cs
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,da
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,nl
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,en
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,et
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,fi
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,fr
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,de
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,el
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,hu
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ga
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,it
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,lv
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,lt
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,mt
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,pl
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,pt
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ro
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,sk
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,sl
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,es
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,sv
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,Agnostic
