Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,TOTAL,,"6,564",638,"6,726",802,72,5,2,0,"2,959",407,"Article 16 figures reflect notices from Snap’s dedicated Article 16 forms, (originating from in-app and Support Site reports) including from Trusted Flaggers. EU user reports of Community Guidelines violations, previously included here, have been reclassified to the ""own initiative"" fields to align with the DSA template. 

Snap classified the reported category of illegal content in notices via a combination of human and automated review based on the description the user provided in the notice, if any.  During H2 2025, notifiers were not required to self-designate a DSA category of illegal content in their notice.  Beginning in H1 2026, we have updated our dedicated Article 16 notice channel to ask notifiers to designate the applicable alleged category of illegal content. ",,"Figures for Trusted Flaggers reflect the item count selected by the flagger at submission in the intake form, with a minimum of one item per notice.  For Article 16 user notices, where the intake form did not capture quantitative item inputs, Snap applies a default of one item per notice.","Figures for Trusted Flaggers reflect the item count selected by the flagger at submission in the intake form, with a minimum of one item per notice.",The median times reported here include both Article 16 notices where an enforcement ultimately resulted and Article 16 notices where no enforcement resulted (with the end time calculated as being when our safety team concluded that no further action was needed on the notice).,,"When reviewing Article 16 notices, we first evaluate content against our Community Guidelines and relevant policies. If it violates our policies—which we find cover the vast majority of potentially illegal content reported to Snap through the Article 16 process—we record the enforcement as a Terms and Conditions violation, which carries at least commensurate, or in some cases stricter, enforcement consequences as enforcement for violation of local laws. We only categorize an action as taken on the basis of law if the content is not deemed to violate our policies, but we determine that it violates applicable local law.",,,"A single 'action' recorded in this field may encompass the removal or suspension of multiple individual pieces of content or accounts, provided they were submitted within a single notice by the Trusted Flagger. Therefore, the number of actions taken may be lower than the total number of individual content items or accounts removed."
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,218,0,218,0,336,,0,0,64,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,188,0,188,0,470,0,0,0,41,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,30,0,30,0,67,0,0,0,23,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,154,0,154,0,136,,0,0,73,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,78,0,78,0,248,0,0,0,31,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,10,0,10,0,64,0,0,0,5,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,58,0,58,0,114,0,0,0,29,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Snap,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
