Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,559,"This field and the following six fields reflect the status as of 31 December 2025 of disputes or decisions reported to Snap by certified out-of-court dispute settlement bodies under DSA Article 21 during the reporting period (H2 2025). Across all metrics, we have included cases received by Snap even if they were fully or partially missing information which Snap then requested and did not receive until a later date."
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,126,"With respect to disputes in which there was an issued decision, we have only included decisions which were received during the reporting period."
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,4,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,29,"Snap requests that ODS bodies report their internal case initiation dates to us.  However, those bodies did not uniformly provide such information in this reporting period.  Going forward, Snap has implemented an intake form requiring ODS bodies to report their internal case initiation dates.  For this reporting cycle, to ensure data consistency, Snap has calculated the median time, in days, needed for completing dispute settlement procedures from the date Snap receives a complaint from an ODS body to the date a decision was received from the ODS body, excluding omitted decisions.  

"
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,83,"This field encompasses disputes in which Snap reversed its initial decision or otherwise resolved the dispute prior to the completion of the ODS process, and therefore did not lead an ODS decision."
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,50%,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content,Total number,0,"Enforcements, including account terminations that prohibit users from opening a new account, are taken pursuant to our Community Guidelines, which include severe harms.  Snap does not separately track suspensions for ""manifestly illegal"" content."
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,0,
Only for providers of online platforms,Snap,2025-07-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,0,
