Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,286,0,24,0,2,0,24,0,,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,286,0,24,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,3355,0,1773,0,4.875,0,1773,0,,0,"counterfeit' and
'trademark, copyright, design or other intellectual property infringement' refer to the user reporting reasons",,,,,,,,,
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,696,0,9,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,1077,0,0.75,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"'counterfeit'
'trademark, copyright, design or other intellectual property infringement'",3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,236,0,0,0,0,0,0,0,0,0,"Reporting reason for users ""violated a specific law or regulation"". These are they recategorised under another policy internally e.g counterfeit",0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,5452,0,95,0,11,0,95,0,0,0,'scamming' refers to the user reporting reason,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_PHISHING,,0,0,90,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"'Fraudulent Counterfeit Seller'
'Scamming'",5452,0,5,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,372,0,0,0,0,0,0,0,0,0,'concerning or unsafe behaviour' referes to the user reporting reason,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,'concerning or unsafe behaviour',372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
