Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,TOTAL,,108528,4,166281,49,20.22,0.17,15,0,92204,50,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,29118,0,27283,0,16.09,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,421,0,417,0,4.68,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,28697,0,26866,0,16.39,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,106,0,106,0,6.82,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,106,0,106,0,6.82,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,754,0,749,0,5.38,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,Contains private information,754,0,749,0,5.38,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,6385,0,6174,0,11.86,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,45,0,45,0,8.75,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,504,0,473,0,15.8,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,1022,0,886,0,14.72,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,Contains illegal or harmful content,4302,0,4268,0,4.29,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,Contains objectionable language,512,0,502,0,5.96,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,33764,4,96056,49,20.4,0.17,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,19950,2,41469,5,19.64,0.28,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,1613,2,4694,44,20.28,0.17,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,5171,0,7028,0,24.05,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,7030,0,42865,0,20.55,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,24,0,24,0,9.11,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,24,0,24,0,9.11,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,1624,0,1520,0,6.73,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,757,0,695,0,8.83,NA,,,,,"For the current reporting period, Temu refined its reporting flow for product listings to capture Article 16 notices concerning Child Sexual Abuse Material (CSAM) with higher specificity. The increase in reported volumes under this category is primarily attributable to this structural adjustment and the resulting refinement of the mapping methodology rather than an increase in underlying CSAM-related notice volume.",,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Other sexual, obscene, or nudity-related content (excluding content depicting minors)",867,0,825,0,6.51,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,338,0,321,0,8.86,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,338,0,321,0,8.86,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,5467,0,5342,0,5.87,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,5467,0,5342,0,5.87,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_PHISHING,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,21,0,21,0,3.71,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,21,0,21,0,3.71,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,1706,0,1406,0,20.84,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,729,0,637,0,12.09,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,977,0,769,0,35.41,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,985,0,866,0,8.75,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,253,0,252,0,6.43,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,732,0,614,0,10.89,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,NA,NA,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Temu,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,28236,0,26413,0,NA,NA,,,,,,,,,,,,,,
