Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,"335,474.00","Automated measures include the removal of fraudulent properties and reviews, the rejection of images under policies relating to confidential data, adult nudity and promotional content, and the rejection of reviews containing no text submitted in connection with reservations marked as no-show. The total number of measures also includes cases for which a country-level breakdown is not available. As a result, the sum of the figures reported by country is lower than the overall total."
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,"923,485.00","Includes content removed under TOC, including content removed during moderation, escalations or when reported under Article 16."
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,97.55,
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,24.95,
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,26.17,
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,"109,982.00",
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,"862,022.00",Includes content removed under TOC during moderation as this is consiered own initiative.
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,97.55,
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,24.95,
All,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative ,26.17,
"Only for providers of hosting services, including online platforms",Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,,"We receive user notifications through third parties such as Zendesk and ServiceNow, and all reports are manually processed."
"Only for providers of hosting services, including online platforms",Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,0.00,
"Only for providers of hosting services, including online platforms",Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,
"Only for providers of hosting services, including online platforms",Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,
"Only for providers of hosting services, including online platforms",Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,Booking.com,2026-01-01/2026-06-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,at,2474,
Only for VLOPs,Booking.com,2026-01-01/2026-06-32,Use of automated means for content moderation,Number of measures solely taken by automated means ,be,1459,
Only for VLOPs,Booking.com,2026-01-01/2026-06-33,Use of automated means for content moderation,Number of measures solely taken by automated means ,bg,3435,
Only for VLOPs,Booking.com,2026-01-01/2026-06-34,Use of automated means for content moderation,Number of measures solely taken by automated means ,cy,463,
Only for VLOPs,Booking.com,2026-01-01/2026-06-35,Use of automated means for content moderation,Number of measures solely taken by automated means ,cz,3519,
Only for VLOPs,Booking.com,2026-01-01/2026-06-36,Use of automated means for content moderation,Number of measures solely taken by automated means ,de,12370,
Only for VLOPs,Booking.com,2026-01-01/2026-06-37,Use of automated means for content moderation,Number of measures solely taken by automated means ,dk,494,
Only for VLOPs,Booking.com,2026-01-01/2026-06-38,Use of automated means for content moderation,Number of measures solely taken by automated means ,ee,1209,
Only for VLOPs,Booking.com,2026-01-01/2026-06-39,Use of automated means for content moderation,Number of measures solely taken by automated means ,es,13007,
Only for VLOPs,Booking.com,2026-01-01/2026-06-40,Use of automated means for content moderation,Number of measures solely taken by automated means ,fi,364,
Only for VLOPs,Booking.com,2026-01-01/2026-06-41,Use of automated means for content moderation,Number of measures solely taken by automated means ,fr,13338,
Only for VLOPs,Booking.com,2026-01-01/2026-06-42,Use of automated means for content moderation,Number of measures solely taken by automated means ,gr,4714,
Only for VLOPs,Booking.com,2026-01-01/2026-06-43,Use of automated means for content moderation,Number of measures solely taken by automated means ,hr,3026,
Only for VLOPs,Booking.com,2026-01-01/2026-06-44,Use of automated means for content moderation,Number of measures solely taken by automated means ,hu,2712,
Only for VLOPs,Booking.com,2026-01-01/2026-06-45,Use of automated means for content moderation,Number of measures solely taken by automated means ,ie,940,
Only for VLOPs,Booking.com,2026-01-01/2026-06-46,Use of automated means for content moderation,Number of measures solely taken by automated means ,it,17098,
Only for VLOPs,Booking.com,2026-01-01/2026-06-47,Use of automated means for content moderation,Number of measures solely taken by automated means ,lt,1456,
Only for VLOPs,Booking.com,2026-01-01/2026-06-48,Use of automated means for content moderation,Number of measures solely taken by automated means ,lu,109,
Only for VLOPs,Booking.com,2026-01-01/2026-06-49,Use of automated means for content moderation,Number of measures solely taken by automated means ,lv,1074,
Only for VLOPs,Booking.com,2026-01-01/2026-06-50,Use of automated means for content moderation,Number of measures solely taken by automated means ,mt,438,
Only for VLOPs,Booking.com,2026-01-01/2026-06-51,Use of automated means for content moderation,Number of measures solely taken by automated means ,nl,1797,
Only for VLOPs,Booking.com,2026-01-01/2026-06-52,Use of automated means for content moderation,Number of measures solely taken by automated means ,pl,12362,
Only for VLOPs,Booking.com,2026-01-01/2026-06-53,Use of automated means for content moderation,Number of measures solely taken by automated means ,pt,3214,
Only for VLOPs,Booking.com,2026-01-01/2026-06-54,Use of automated means for content moderation,Number of measures solely taken by automated means ,ro,6269,
Only for VLOPs,Booking.com,2026-01-01/2026-06-55,Use of automated means for content moderation,Number of measures solely taken by automated means ,se,875,
Only for VLOPs,Booking.com,2026-01-01/2026-06-56,Use of automated means for content moderation,Number of measures solely taken by automated means ,si,561,
Only for VLOPs,Booking.com,2026-01-01/2026-06-57,Use of automated means for content moderation,Number of measures solely taken by automated means ,sk,1105,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,98.80%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,cs,99.28%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,da,99%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,98.32%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,et,99.69%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,el,97.12%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,en,97.36%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,es,96.92%,
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fi,99.76%,
