Applicability,Service,Indicator,Value
All,Booking.com,Name of the service provider,Booking.com B.V
All,Booking.com,Date of the publication of the report,2026-08-28
All,Booking.com,Date of the publication of the latest previous report,2026-02-28
All,Booking.com,Starting date of reporting period,2026-01-01
All,Booking.com,Ending date of reporting period,2026-06-30
