Applicability,Service,Reporting period,Indicator,Value
All,Google Search,2026-01-01/2026-06-30,Summary of the content moderation engaged in at the providers’ own initiative,"Across all products and services, we set clear policies for what is and is not acceptable on our platforms. These policies aim to ensure a safe and positive experience for our users and observe a high standard of quality and reliability for advertisers, publishers, and content creators alike. 

Content policies establish the rules of the road for what content can be created, uploaded, sent, shared, and monetised. These policies are used to guide content moderation and enforcement actions on our products. They also play an important role in maintaining a positive experience for everyone on our platforms no matter where they are in the world. 

User data and developer policies provide rules for how developers interact with our products and services. They also describe the privacy and security requirements for handling user data to include the full spectrum of developer actions, like requesting, obtaining, using, and sharing data. 

Monetised product guidelines are the policies and standards related to products Google earns revenue from and cover what can or cannot be monetised. These policies empower and protect users while promoting a thriving digital ecosystem that is safe and conducive to innovation and growth.

'Own initiative' content moderation 
Content moderation actions taken at Google's 'own initiative' are considered to be actions taken on content shown to or flagged by those in the EU because the content violates our policies, or where the content is illegal but action is not taken in response to an Article 9 order or Article 16 notice. These can encompass both proactive and reactive enforcement actions. Proactive enforcement takes place when potentially policy-violating content has been flagged internally, for example, via algorithms or contractors. Reactive enforcement takes place in response to external notifications, such as user policy flags or legal complaints.

Google services are wide-ranging and differ in their user bases, content hosted, services provided, and expectations for enforcement. To support information and content quality on our products and services, we take a wide range of enforcement actions to maintain a trusted experience for all. Enforcement actions, like policies, differ from service to service and are tailored to the purpose of each service, based on what is reasonable, proportionate, and effective, taking into consideration the appropriate approach to freedom of expression for each service. However, the types of restrictions applied may include: 

(i) restrictions of the visibility of content; 
(ii) restrictions of the ability to monetise content; 
(iii) restrictions of provision of some or all features of the service; and
(iv) Google-wide restrictions of an account where users can no longer log into any Google service, which may be imposed as a result of multiple legal or policy violations across one or more services. 

In some cases, restriction of monetisation, by itself, is not an applicable enforcement action for a service, however, a different enforcement action (e.g., restriction of provision of the service) may prevent features from being monetised.

Google considers 'measures' as actions taken on moderated videos, URLs, listings, accounts, and other content types, which are of a policy-violative nature or are delisted as a result of applicable law. Where feasible, the categories and sub-categories identified by the European Commission are used to group and report enforcement actions. However, some policies do not fully align with these sub-categories, and are thus reported using additional sub-categories (i.e. using the KEYWORD_OTHER option provided by the European Commission). For relevant services, we separately present metrics relating to advertisements impressed on those services (on the 6_own_initiative_Ads tab). While intermediary services are out-of-scope for Art 15(1)(b), actions taken on a legal basis in response to legal notices received about intermediary service content are reported under Art 15(1)(c) for completeness. Finally, metrics on actions taken that impact multiple Google services are included in the Multi-Services report. 

For more information, see:
- Google Transparency Center: https://transparency.google/our-policies/product-terms/

Service-specific details
Google Search has a unique challenge in reporting a single level of granularity because it is a complex service that combines information from a wide range of different sources and systems, and presents information through many different formats (from web listings to dedicated Search features). Given the widely varying features and services offered in Google Search, the service's content policies and the nature of specific enforcement actions take place at varying levels of granularity. Therefore, the number of actions taken are reported alongside the following levels of granularity to reflect the scope of the actions: 

- Domain Level Actions: Number of internet domains taken action on due to policy violations.
- Host Level Actions: Number of internet hostnames (or variants with common prefixes such as www) taken action on due to policy violations.
- URL Level Removals: Number of individual URLs removed due to legal or policy violations.
- Image Level Removals: Number of individual images removed due to legal or policy violations. 
- Entity Level Actions: Number of entities originating from various reporting channels, which were actioned due to policy violations.
- Partner Feed Item Level Actions: Number of entities (URLs or images) taken action on in response to partner feeds providing 'Things to Do' and 'Events' results that appear on Google Search.
- Partner Feed Domain Level Actions: Number of internet domains taken action on in response to partner feeds providing 'Flights' and 'Lodging' results that appear on Google Search.
- Profile Level Suspensions: Number of individual profiles suspended due to legal or policy violations.
- Review Level Actions: Number of individual reviews taken action on due to policy violations.

From the February 2026 report onwards, Google Search is updating the reporting granularity from Incident Level Actions to Entity Level Actions. This is possible due to infrastructure upgrades, which allow systematic tracking of enforcement actions taken on unique entities rather than raw incident volumes. 

Notes regarding content moderation actions taken at own initiative
- Google Search is out-of-scope for Art 15(1)(b). However, actions taken on a legal basis in response to legal notices received about Search content are reported under Art 15(1)(c) for completeness. Policy violations may apply to some but not all Search products and features.
- For Google Search, only some of these actions result in complete removal from search results (e.g., ‘non-consensual behaviour' includes delistings under Google's policies relating to highly personal information). Others apply only to certain Search features, such as Discover, Knowledge Graph or Featured Snippets, where prominently surfacing content might cause undue surprise to users (e.g., ‘violence'). Others involve the application of a ranking signal, for example, applying a site penalty to domains that receive a high volume of valid copyright removal notices. Therefore, metrics provided include full removals and restrictions of visibility that apply to a subset of queries.
- Most, but not all, of policy-violating content on Google Search and its features is moderated globally. Most content delisted from Google Search on legal grounds is content subject to copyright removal notifications, which are also processed globally. However, there are classes of delistings based on local law or local court orders that affect only certain country services, based on variance in laws between countries.
- Google uses a variety of automated tools to provide a secure environment for users including Safe Browsing technology. This technology examines billions of URLs per day to identify malware and phishing sites and notify users and webmasters so they can protect themselves from harm. When the URLs are removed from Search, their numbers are included in the metrics above.
- Removal actions from Google Search do not remove content from publishers' sites, but only prevent the content from being included in search results.
- The Review Level Actions in this report are a direct result of features developed in compliance with the Digital Markets Act (DMA).

For more information, see:
- Content policies for Google Search: https://support.google.com/websearch/answer/10622781?hl=en#zippy=%2Chighly-personal-information 
- Safe Browsing technology: https://support.google.com/interconnect/answer/7658604?hl=en&sjid=11779575786028716223-EU

"
All,Google Search,2026-01-01/2026-06-30,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"There is a dedicated page on the Google Transparency Center to help users find ways to report harmful content on several of our services. Often the option to report will be found in the service itself or with its policies. Depending on the nature of the service and the potential policy violation, these user reports may be reviewed using automated tools, human review or a combination of both. 

To enforce our policies at scale, Google relies on a combination of automated and human tools to spot problematic content. While automated systems can quickly identify and take action against spam and some violative content, human judgement is needed for the many decisions that require a more nuanced determination. The context in which a piece of content is created or shared is an important factor in any assessment about its quality or its purpose. Google is attentive to educational, scientific, artistic, and documentary contexts, including journalistic intent, where the content might otherwise violate our policies. Google escalates particularly complex cases to specially-trained experts. Additionally, Google uses a corpus of human-reviewed and removed content to train machine learning technology to flag new content that may also violate product policies. Using machine learning technology trained by human decisions enables our enforcement systems to adapt and become more effective over time. More information about how Google services use automated tools, often supplemented with human review, for content moderation, along with the indicators of accuracy of any fully automated tools is included in the sections below. 

For more information, see:
- Google Transparency Center: https://transparency.google/intl/en_uk/tools-programs/reporting-and-appeals/

Service-specific details
Since Google Search does not host content in web results, and pages are created on the open web before any search engine can index them (or even, in some cases, have permission to crawl them), we do not have the ability to give amounts of time that a URL exists on the open web prior to that image (or the URL on which that image appears) being actioned by Google Search. End users on the service do not view a sizable proportion of illegal or incompatible content on the service in comparison to the overall volume of content indexed by the service within the reporting period. We only have a snapshot of the content on the URL at the time of crawling. Page content often changes between crawls, and we also do not have access to live content actually viewed by the user and hosted by the site. 

"
All,Google Search,2026-01-01/2026-06-30,Qualitative description of the automated means,"This section describes how Google uses automated tools, often supplemented with human review, for content moderation. 

Automated tools used to process Legal-related Content Removal Requests 
Automation plays a role in legal content moderation to help Google work at scale, and focus our efforts on actionable, authentic requests. There are a few ways that automation might be used while handling a removal request. The most common way is that Google uses automation to route a request to the right team. Google has subject matter experts in different types of content and languages, and using automation ensures the request is sent to the people best positioned to review it.

Once content removal requests are routed efficiently, Google also uses automation to manage the millions of URLs (web page addresses) that are sent to Google for review every day, and to complement and streamline human review. As an example, Google receives a significant number of Google Search removal requests for URLs that are not included in Google's search index, which is the vast and continuously updated pool of web page addresses from which all search results are drawn. We have automated systems that detect such URLs in removal requests, enabling our teams and processes to focus on content that does appear on our services and address complex matters requiring human review. 

Google also uses automation to process some legal notices. The vast majority of notices are copyright removal requests, largely from submitters with a well-established track record of submitting valid requests, allowing Google to be relatively confident in automating this processing. Certain requests to remove allegedly defamatory Local Reviews on Google Maps are also automatically processed, in addition to certain requests concerning data protection on Google Search. 

Automated tools used to combat Child Sexual Abuse Material (CSAM)
Google takes its responsibility to fight child sexual abuse and exploitation online very seriously. We do this by combatting CSAM across Google's services and by detecting instances of abuse and enforcing robust policies. We also partner with non-governmental organisations (NGOs) and others in industry coalitions to share proprietary technology and drive the industry forward. 

Built-in protections help prevent Google services from showing abusive content and deter bad actors. To detect and report CSAM, we may use a combination of cutting-edge technology, including machine learning classifiers (to identify unknown CSAM) and hash-matching technology, as well as trained specialist teams. Hash-matching technology creates a 'hash', or unique digital fingerprint, for an image or a video so it can be compared with hashes of known CSAM. When Google finds CSAM, our services remove it, report it to the National Center for Missing and Exploited Children (NCMEC), and take action, which may include disabling the account. 

Google scales its impact by collaborating with NCMEC and partnering with NGOs and industry coalitions to help grow and contribute to a joint understanding of the evolving nature of child sexual abuse and exploitation. One of the ways Google contributes is by creating and sharing free tools to help other organisations prioritise potential CSAM images for human review. For example, Google's Child Safety Toolkit consists of two APIs. The first is Child Sexual Abuse Imagery (CSAI) Match, an API developed by YouTube that partners can use to automatically detect known videos of CSAM so they can flag for review, confirm, report, and act on it. The second is Google's Content Safety API that helps partners classify and prioritise novel potentially abusive images and videos for review. Detection of never-before-seen CSAM helps the child safety ecosystem by identifying child victims in need of safeguarding and contributing to the list of known digital fingerprints to grow our abilities to detect known CSAM. 

Google takes action not just on illegal CSAM, but also wider content that promotes the sexual abuse and exploitation of children and can put children at risk.

For more information, see:
- How image hashing technology helps NCMEC: https://safety.google/stories/hash-matching-to-help-ncmec/
- Tools to fight CSAM: https://protectingchildren.google/#tools-to-fight-csam

Automated tools that affect advertisements
Google uses a combination of automated and human evaluation to detect and remove ads which violate our policies and are harmful to users and the overall ecosystem. Advertisements can also appear across multiple services. To keep ads safe and appropriate for everyone, ads are reviewed to make sure they comply with Google Ads policies and Google Shopping Ads policies. 

When reviewing ad content or advertiser accounts to determine whether they violate our policies, Google takes various information into consideration, including the content of the creative (e.g., ad text, keywords, and any images and video) and the associated ad destination. Google also considers account information (e.g., past history of policy violations) and other information provided through reporting mechanisms (where applicable) in our investigation. 

For more information, see:
- Google Ads policies: https://support.google.com/adspolicy/answer/6008942
- Google Shopping Ads policies: https://support.google.com/merchants/answer/6149970?hl=en

Service-specific automated tools
Google Search relies on a combination of people and technology to enforce Google Search policies. Machine learning, for example, plays a critical role in content quality on Google Search. Google Search systems are built to identify and balance signals of high quality so people can find the most reliable and timely information available. Google Search algorithms look at many factors and signals to raise high quality content and reduce low quality content. Google Search's publicly available website, How Search Works, explains the key factors that help determine which results are returned for a query. Furthermore, our systems are designed to provide access to trustworthy information on the open web while protecting users and society from content that violates our policies. Google Search works continuously to improve the effectiveness of automated systems to protect platforms and users from harmful content. 

To ensure our algorithms meet high standards of relevance and quality, Google Search has a rigorous process that involves both live tests and the Search Quality Rating Program. Ratings do not determine the ranking of an individual, specific page or website, but they help to benchmark the quality of Google Search's results so that Google Search can meet a high bar for users globally. Under the Google Search Quality Rater Guidelines, raters are instructed to assign the lowest rating to pages that are potentially harmful to users or specified groups, misleading, untrustworthy, and spammy. 

Built-in protections help prevent Google services from showing abusive content and deter bad actors. For example, Google deploys safety by design principles to deter users from seeking out child sexual abuse material (CSAM) on Google Search. It is our policy to block search results that lead to child sexual abuse imagery or material that appears to sexually victimise, endanger or otherwise exploit children. We are constantly updating our algorithms to combat these evolving threats. We apply extra protections to searches that we recognise as seeking CSAM content. We filter out explicit sexual results if the search query seems to be seeking CSAM. For queries seeking adult explicit content, Google Search will not return imagery that includes children, to break the association between children and sexual content. In many countries, users who enter queries clearly related to CSAM are shown a prominent warning that child sexual abuse imagery is illegal, with information on how to report this content to trusted organisations. When these warnings are shown, we have found that users are less likely to continue looking for this material. 

In addition to using automated processes related to CSAM, Google Search also uses automated measures to detect webspam content. We define webspam as any irrelevant or useless web content that aims to exploit search engine algorithms to appear as relevant results. This includes pages that engage in abusive behaviour to manipulate search engine rankings, thereby inhibiting search engines from providing high quality results to users. 

Google Search also utilizes automated measures to moderate listings from ancillary features. These systems identify potentially violative material, resulting in the disapproval of content to prevent it from being displayed to users.

For more information, see:
- How Google Search Works: https://www.google.com/intl/en_us/search/howsearchworks/how-search-works/
- Google Search Quality Rater Guidelines: https://services.google.com/fh/files/misc/hsw-sqrg.pdf 

"
All,Google Search,2026-01-01/2026-06-30,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Where relevant and feasible, indicators of accuracy for automated tools used to process legal-related content removal requests, CSAM and advertisements are provided in relevant service-specific reports. While we report fully automated tools primarily on a language-agnostic basis, where applicable and feasible for this reporting period, the indicators of accuracy are also broken down by language. 

Unless otherwise stated, metrics are calculated using standard statistics definitions provided below:
- Accuracy, defined as the proportion of all decisions that were correctly made by the automated system = (TP + TN) / (TP + TN + FP + FN)
- Precision, defined as the proportion of all identified positive cases that were correctly classified = TP / (TP + FP)
- Recall, defined as the proportion of actual positive cases that were correctly classified = TP / (TP + FN) 
Where TP = True Positives; TN = True Negatives; FP = False Positives; FN = False Negatives.

Automated tools used to process Legal-related Content Removal Requests 
For relevant services, accuracy, precision and recall are provided for fully automated content moderation tools used to process legal-related content removal requests. These metrics are computed based on a quality assurance audit of global reviews performed by the automated systems. 

As previously mentioned, intermediary services are out-of scope for Art 15(1)b and actions taken on a legal basis in response to legal notices received about intermediary service content are reported under Art 15(1)c for completeness. Therefore, accuracy indicators of fully automated content moderation tools used to process legal-related content removal requests on intermediary services are reported under 'own initiative' rather than 'NAM total' on the 8_automated_means tab.

In the VLOP reports, accuracy, precision and recall metrics are provided for EU Member State languages where sufficient data exist to calculate meaningful metrics.

Automated tools used to combat Child Sexual Abuse Materials (CSAM)
For relevant services, precision is provided for fully automated content moderation tools used to restrict CSAM.

False Positives reflect the number of automated actions that were later found to be incorrect and reversed following appeals from account owners in the EU while True Positives reflect the number of automated actions that were reviewed and upheld after appeal and those that were not subject to an appeal.

Accuracy and recall metrics are not being reported for automated tools used to restrict CSAM due to the technical infeasibility of identifying False Negatives (i.e. where violative content exists but it is not detected by automated means). Identifying instances where an automated system failed to detect a violation would require exhaustive manual follow-up of millions of cases which were previously deemed to be compliant. Language breakdown is not applicable as moderated content is image-based.

Automated tools that affect advertisements
Within the Ads (hosting service provider) report, accuracy, precision and recall are reported across all automated content moderation decisions. For relevant services, Ads is reporting accuracy, precision and recall across all automated content moderation decisions on that particular service (on the 8_automated_means_Ads tab). 

False Positives reflect the number of automated actions that were later found to be incorrect and reversed following appeals from advertisers in the EU while True Positives reflect the number of automated actions that were reviewed and upheld after appeal and those that were not subject to an appeal. False Negatives reflect instances where an automated system did not detect a violation, but action was subsequently taken following reports from EU users while True Negatives reflect instances where content was reviewed following EU user reports and found to be non-violative, in addition to instances where content was approved by the automated system and not subsequently reviewed. To determine if the automated system was right or wrong, Ads checks if automated decisions were overturned by human reviewers within 90 days following the ad's creation. 
 
In the VLOP reports, accuracy, precision and recall metrics are provided for each EU Member State language where sufficient data exist to calculate meaningful metrics.

Service-specific automated tools
Google Search is reporting precision at launch for webspam classifiers. Precision is determined through human evaluation of a random sample, adhering to the standard statistics definition provided above. The average precision was calculated taking into account the volume of actions taken by each webspam classifier i.e. Average Precision = ∑(precision*volume) / ∑(volume).

Search is unable to provide accuracy or recall metrics due to the extremely low incidence of policy-violating URLs within the vastness of open web content. Using a representative sample of URLs that users interact with, Search calculated the prevalence of webspam to be <1%. Due to this extremely low prevalence of webspam, acquiring a statistically meaningful sample of False Negatives is technically infeasible. Identifying instances where an automated system failed to detect a violation would require exhaustive manual follow-up of millions of cases which were previously deemed to be compliant. 

"
All,Google Search,2026-01-01/2026-06-30,Specification of the precise purposes to apply automated means,"See response to 'Qualitative description of the automated means'. 

"
All,Google Search,2026-01-01/2026-06-30,Safeguards applied to the use of automated means,"To enforce our policies at scale, Google relies on a combination of automated and human tools to spot problematic content. While automated systems can quickly identify and take action against spam and some violative content, human judgement is needed for the many decisions that require a more nuanced determination. The context in which a piece of content is created or shared is an important factor in any assessment about its quality or its purpose. Google is attentive to educational, scientific, artistic, and documentary contexts, including journalistic intent, where the content might otherwise violate our policies. Google escalates particularly complex cases to specially-trained experts. 

Additionally, Google uses a corpus of human-reviewed and removed content to train machine learning technology to flag new content that may also violate product policies. Using machine learning technology trained by human decisions enables our enforcement systems to adapt and become more effective over time. 

Automated tools used to process Legal-related Content Removal Requests 
Users can appeal content moderation decisions made by automated systems to process legal-related content removal requests. These appeals are then subject to human review. 

Automated tools used to combat Child Sexual Abuse Materials (CSAM)
Users can appeal content moderation decisions made by automated systems to take action on CSAM. These appeals are then subject to human review. Sampling is also used to constantly monitor the quality of automated enforcements. 

Automated tools that affect advertisements
Our enforcement technologies may use automated evaluation, modelled on human reviewers' decisions, to help protect our users and keep our ad platforms safe. The policy-violating content is either removed by automated means or it is flagged for further review by trained operators and analysts who conduct content evaluations that might be difficult for algorithms to perform alone, for example, because an understanding of the context of the ad is required. The results of these manual reviews are then used to help build training data to further improve our machine learning models. Ads also offers users and Priority Flaggers an option to report violative ads, while advertisers have the option to appeal automated ad restrictions. All user reports and appeals are subject to human review.

Service-specific automated tools
Google Search employs a combination of automated technology and human oversight to enforce its policies and maintain the quality of its search results.

"
Only for VLOPs,Google Search,2026-01-01/2026-06-30,High-level description of the content moderation governance structure
Only for VLOPs,Google Search,2026-01-01/2026-06-30,Qualifications of the human resources dedicated to content moderation
Only for VLOPs,Google Search,2026-01-01/2026-06-30,Training given to human resources dedicated to content moderation
Only for VLOPs,Google Search,2026-01-01/2026-06-30,Support given to human resources dedicated to content moderation 
