Applicability,Service,Reporting period,Indicator,Value
All,WhatsApp Channels,2026-01-01/2026-06-30,Summary of the content moderation engaged in at the providers’ own initiative,"WhatsApp maintains a set of globally applicable WhatsApp Channels Guidelines and the applicable Terms of Service that define what is and is not allowed on the service. We employ a combination of product design, automated data processing, and human review, as well as a range of enforcement actions, to implement these policies, including suspending further delivery of channel updates, removing violating content from channel profile fields and suspending a channel."
All,WhatsApp Channels,2026-01-01/2026-06-30,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Channel updates and changes to channel metadata are proactively reviewed by our range of automated detection tools. These include machine learning text and media classifiers designed to identify potentially violating content. When content is identified by our automated detection systems as potentially violating, it may be enforced automatically where there is high confidence, or enqueued for human review for confirmation of any violations of our terms and policies. Our team works with cross-functional partners to review automated proactive decisioning results, identify areas of improvement, and train models with new examples and/or data.

As a result of automated enforcement and/or human review, WhatsApp can take a number of measures to enforce our policies and restrict access to certain Channels content. WhatsApp may choose to warn a channel admin, apply strikes, remove a violating channel picture, prevent a channel from being accessed in certain jurisdictions or discovered by non-followers. WhatsApp will suspend a channel if its admin repeatedly posts content that violate our terms and policies, including illegal content. The decision to suspend a channel will depend on the amount, nature, and severity of the violating content, and, if identifiable, the intent of the user. WhatsApp may also terminate a user’s access to the entire WhatsApp service for violating our Channels policies.  

Of the WhatsApp Channels updates enforced upon during 1 April - 30 June 2026, 66% were never viewed prior to enforcement.
"
All,WhatsApp Channels,2026-01-01/2026-06-30,Qualitative description of the automated means,"As described in this report, Channel updates and changes to channel metadata are proactively reviewed by our range of automated detection tools. These include machine learning text and media classifiers designed to identify potentially violating content. When content is identified by our automated detection systems as potentially violating, it may be enforced automatically where there is high confidence, or enqueued for human review for confirmation of any violations of our policies. 

WhatsApp also leverages media banks of known violating content. When media is found to match material contained in these banks, automated enforcement actions are triggered without the need for human review."
All,WhatsApp Channels,2026-01-01/2026-06-30,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Our technology learns and improves from human decisions. Over time – after learning from thousands of human decisions – the technology gets better. When reviewing violating content, review teams manually label the terms and policy guiding their decision, which means that they mark or “label” the relevant terms and policy that the content, account, or activity violates. This labelling of data helps us improve the quality of our algorithms that proactively detect and remove harmful content or user accounts. 

Prior to fully launching any new technologies, we use the technology to only log how the technology would have behaved instead of immediately acting. We then use human reviewers to assess the accuracy against current content, accounts, or activity, rather than just historical ones, as we did during the technology’s training. After launching rate limits, matching technologies, or artificial intelligence (AI), we monitor the volumes of actions and appeals by the Channel admin who posted the Channel content as well as the rate at which appeals are granted. If any of the metrics we monitor are abnormal, our  teams may investigate. 

For each primary form of automation technology, the investigation of abnormal metrics can vary. For our matching technologies, if an entry in our list of previously identified instances of terms and policy violations has abnormal signals, we will re-review the entry to confirm it continues to go against our policies. Similarly, if one of our AI tools has abnormal signals, we will either send a sample of the AI tool’s recent results to human labelling to confirm the accuracy rate or deprecate the AI tool if abnormal signals indicate a clear breakage. 

While various types of automation necessitate different and overlapping techniques for assessing performance, we are able to measure precision across all types of automation. To make this possible, we assume all action taken using automated means that are later restored are true automated mistakes. While not all restores are mistakes, these assumptions enable the creation of directionally approximate indicators for precision.
"
All,WhatsApp Channels,2026-01-01/2026-06-30,Specification of the precise purposes to apply automated means,"As described in this report, we use technology to help us detect content on our services that may violate our WhatsApp Channels Guidelines, so we can take faster action. We also describe our primary content review automated tools. 

These technologies assess account activity and run on channel profile information and channel update, as well as information reported by users. These tools determine how probable or likely it is that the channel admin has violated WhatsApp’s terms or policies. The result of this determination can either be an enforcement action or the referral of the channel for further human review. 
"
All,WhatsApp Channels,2026-01-01/2026-06-30,Safeguards applied to the use of automated means,"To ensure and improve the quality, i.e., how accurate the technologies mentioned above are in enforcing the WhatsApp Channels Guidelines, there are ongoing quality evaluation processes in place. WhatsApp uses overlapping techniques and systems for maintaining a high overall accuracy for our automation.
 
In addition, many of our machine learning classifiers are automatically reassessed for accuracy after each human review. This classifier reassessment is an example of the general feedback loop between human review and technology. The account labelling decisions taken by human reviewers are used to train and refine our technology. As a part of this process, the review teams manually label the policy guiding their decision, i.e., they mark the policy that the account, channel update or activity violates. This helps to improve the quality of our AI algorithms and our lists of known policy-violating accounts used by our matching technology. To maintain quality control in all of these decisions, we regularly audit random samples of decisions taken by the algorithm and team and measure them against our expectations for policy enforcement. 
"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,High-level description of the content moderation governance structure,"WhatsApp Ireland Limited (“WhatsApp Ireland”) operates under a structured governance framework designed to ensure effective oversight and accountability. WhatsApp Ireland is led by a Board of Directors which is the relevant management body for the purposes of the Digital Services Act (DSA). The Board of Directors comprises “those charged with governance” under applicable corporate and company law and, as such, has primary and overarching responsibility for ensuring WhatsApp Ireland’s compliance with obligations arising in connection with the DSA. 

Decisions regarding activity and accounts that potentially violate our terms and policies are made by dedicated teams, following established policies and procedures that prioritise user safety and transparency. In complex cases, decisions may involve cross-functional input from multiple stakeholders to ensure consistency. This governance structure enables WhatsApp Ireland to maintain robust oversight of compliance with its DSA obligations.
"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Qualifications of the human resources dedicated to content moderation,"Our team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable the team to assess content across languages. Our team also includes experts in enforcement in policy areas such as child safety. We have established escalation processes to route content requiring specialised assessment, such as credible threats, to incident response teams.

We also partner with third party service providers to help with this process, which allows us to scale globally with coverage across time zones and regions. 
"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Training given to human resources dedicated to content moderation,"Human reviewers undergo extensive training, calibration, and ongoing assessment to ensure they continually take the correct actions to uphold the WhatsApp Channels Guidelines. 

Reviewers are taught to balance policy enforcement with the need to protect users’ ability to express themselves, all while adhering to WhatsApp Channels Guidelines. Training materials are regularly reviewed and updated to reflect evolving standards and global best practices, ensuring reviewers are equipped to make nuanced decisions in a rapidly changing environment.

Human reviewers who review content alleged to be illegal receive distinct training based on the nature of their respective work. In particular, every member receives several weeks of training focused heavily on operational proficiency and in preparation for processing such content.
"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Support given to human resources dedicated to content moderation ,"We recognise this can be challenging work. Keeping people safe online sometimes requires review teams to look at content that may be objectionable or graphic. We respect the difficulty of this work and partner with industry-leading vendors to ensure reviewers have access to the resources they need to do their job and support their health and wellbeing. Our support programme for human reviewers is robust and multifaceted. Our vendor contracts mandate high quality support across a range of areas, including pay, benefits, work environment, and wellbeing and psychological support. The specific assistance model depends on the type of content reviewers work on. Such assistance, for example, can take the form of psychological support, including individual and group sessions, and a 24/7 independent support programme which includes a range of offerings that include clinical services."
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Methodology used to compute the number of human resources dedicated to content moderation  ,"Our human resources dedicated to content review are reflective of reviewers who work on WhatsApp Channels content originating from the EU. As our review model is language-agnostic, relying on translation systems rather than language-specific reviewer teams, the same reviewer workforce handles content across all languages and regions."
