Applicability,Service,Indicator,Value
All,Pokémon GO,Name of the service provider,"Niantic, Inc."
All,Pokémon GO,Date of the publication of the report,2026-02-28
All,Pokémon GO,Date of the publication of the latest previous report,2025-02-17
All,Pokémon GO,Starting date of reporting period,2025-01-01
All,Pokémon GO,Ending date of reporting period,2025-12-31
