Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,155663000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,3715000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BE,4038000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BG,1670000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HR,1231000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CY,412000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CZ,3857000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DK,2014000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EE,652000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FI,2960000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FR,26513000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DE,36944000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EL,3055000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HU,2903000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IE,2348000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IT,17172000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LV,690000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LT,928000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LU,348000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,MT,155000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,NL,10052000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PL,9227000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PT,2529000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,RO,2929000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SK,1330000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SI,668000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SP,12493000
Only for VLOPs and VLOSEs,Wikipedia,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,4830000
