Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,30740,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,1375144,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,56.90%,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,55.10%,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,97.30%,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,35731,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,6065,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,64.6 %,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,60.00%,
All,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative ,96.40%,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,1211266,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,1399819,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,86.00%,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,92.30%,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,90.50%,
Only for providers of online platforms,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,N/A,
Only for providers of online platforms,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,N/A,
Only for providers of online platforms,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,N/A,
Only for providers of online platforms,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,N/A,
Only for providers of online platforms,Discord,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,N/A,
