Applicability,Service,Indicator,Value
All,Discord,Name of the service provider,Discord
All,Discord,Date of the publication of the report,2026-02-27
All,Discord,Date of the publication of the latest previous report,2025-02-14
All,Discord,Starting date of reporting period,2025-01-01
All,Discord,Ending date of reporting period,2025-12-31
