Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""","Number of notices received 
",Number of Items Moderated,Median Time to take action (reports) (in hour),Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,7052,949,170,1,2,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,4366,20728,35,47,49,,,47,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,3204,914,6,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,13570,3872,3,48,196,,,31,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,
