Applicability,Service,Indicator,Value
All,XVIDEOS.COM,Name of the service provider,"WebGroup Czech Republic, a.s."
All,XVIDEOS.COM,Date of the publication of the report,6/8/2026
All,XVIDEOS.COM,Date of the publication of the latest previous report,2/28/2026
All,XVIDEOS.COM,Starting date of reporting period,1/1/2026
All,XVIDEOS.COM,Ending date of reporting period,6/30/2026
