Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,78,0,"2,188",0,0.34,0.00,0,0,"2,188",0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,78,0,"2,188",0,0.34,0.00,0,0,"2,188",0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,300,0,300,0,6.74,0.00,32,0,268,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,190,0,190,0,13.07,0.00,0,0,190,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,110,0,110,0,0.25,0.00,32,0,78,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,160,0,160,0,14.36,0.00,0,0,160,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,76,0,76,0,14.45,0.00,0,0,76,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,84,0,84,0,14.17,0.00,0,0,84,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_PHISHING,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,No other sub-categories,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
