Applicability,Service,Indicator,Value
All,Marketplace,Name of the service provider,Vinted
All,Marketplace,Date of the publication of the report,2026-02-26 00:00:00
All,Marketplace,Date of the publication of the latest previous report,2026-02-26 00:00:00
All,Marketplace,Starting date of reporting period,2025-01-01 00:00:00
All,Marketplace,Ending date of reporting period,2025-12-31 00:00:00
