Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,Only high-level categories are used. Sub-categories are not implemented and therefore cannot be reported on.,306175,0,282479,0,1.911315881,0,259370,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,261172,0,251514,0,2,0,236368,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,3732,0,3588,0,1,0,3133,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,0,0,0,0,0,0,0,0,n/a,n/a,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,41271,0,27377,0,1,0,19869,0,n/a,n/a,,,,,,,,,,
