Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Country,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information denied,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information in hours,Median time to give effect to the order to provide information in hours,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,FI,FI,0,0,0,0,22,5,17,3.3,0.56,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,FR,0,0,0,0,1543,75,1468,8.92,0.13,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,FR,FR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,FR,FR,0,0,0,0,1543,75,1468,8.92,0.13,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,GR,0,0,0,0,8,0,8,7.95,0.23,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,GR,GR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,GR,GR,0,0,0,0,8,0,8,7.95,0.23,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,HR,0,0,0,0,4,1,3,14.51,0.9,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,HR,HR,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,HR,HR,0,0,0,0,4,1,3,14.51,0.9,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,HU,1,0,0,0,61,4,57,7.49,0.12,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,HU,HU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,HU,HU,1,0,0,0,61,4,57,7.49,0.12,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,IE,0,0,0,0,10,0,10,6.95,0.16,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,IE,IE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,IE,IE,0,0,0,0,10,0,10,6.95,0.16,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,IT,0,0,0,0,525,232,293,10.57,0.11,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,IT,IT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,IT,IT,0,0,0,0,525,232,293,10.57,0.11,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,LT,5,0,0,0,178,14,164,7.5,0.21,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,LT,LT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,LT,LT,5,0,0,0,178,14,164,7.5,0.21,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,LU,0,0,0,0,6,3,3,5.71,0.08,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,LU,LU,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,LU,LU,0,0,0,0,6,3,3,5.71,0.08,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,NL,0,0,0,0,66,18,48,18.72,0.16,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,NL,NL,0,0,0,0,0,0,0,0,0,,,,,,
