Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Country,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information denied,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information in hours,Median time to give effect to the order to provide information in hours,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,All,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,All,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,All,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,All,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,All,6,0,0,0,8288,1101,7187,7.0081667,0.15,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,AT,0,0,0,0,272,11,261,10.9713851,0.23,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,AT,AT,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,AT,AT,0,0,0,0,272,11,261,10.9713851,0.23,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,BE,0,0,0,0,22,11,11,17.2889881,0.22,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,BE,BE,0,0,0,0,0,0,0,0,0,,,,,,
