Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,NL,1918523,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,PL,1827610,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,PT,851917,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,RO,922752,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,SK,207294,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Number of measures solely taken by automated means ,SI,102851,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Number of measures solely taken by automated means ,ES,3053165,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Number of measures solely taken by automated means ,SE,1429796,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,AT,29170,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,BE,40696,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,BG,29173,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,HR,15217,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,CY,51976,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,CZ,50537,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,DK,24880,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,EE,10289,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,FI,33571,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,FR,253419,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,DE,359321,
