Applicability,Service,Indicator,Value
All,hosting,Name of the service provider,HOSTINGER INTERNATIONAL LIMITED
All,hosting,Date of the publication of the report,2026-03-20 00:00:00
All,hosting,Date of the publication of the latest previous report,2025-06-02 00:00:00
All,hosting,Starting date of reporting period,2025-02-17 00:00:00
All,hosting,Ending date of reporting period,2025-12-31 00:00:00
,,,
Applicability,Service,Indicator,Value
All,domain,Name of the service provider,"HOSTINGER operations, UAB"
All,domain,Date of the publication of the report,2026-03-20 00:00:00
All,domain,Date of the publication of the latest previous report,2025-06-02 00:00:00
All,domain,Starting date of reporting period,2025-02-17 00:00:00
All,domain,Ending date of reporting period,2025-12-31 00:00:00
