Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Hotels,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,
Only for VLOPs and VLOSEs,Hotels,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,AT,
Only for VLOPs and VLOSEs,Hotels,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,[...],
Only for VLOPs and VLOSEs,Hotels,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SE,
