Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information,Surface
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content ,Total number,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,,,Ads
Only for providers of online platforms,Hotels,2025-07-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,,This ads-specific metric reflects the number of complaints that have been suspended or not processed during the reporting period.,Ads
