Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,35.852.803
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,AT,1.203.717
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BE,1.920.111
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CZ,563
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DE,11.689.109
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DK,961
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,EE,52
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,ES,2.220.304
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FI,531
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FR,3.986.382
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,GR,
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HR,214
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HU,195
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IE,93
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IT,4.460.037
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LT,114
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LU,9
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LV,54
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,NL,2.665.017
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PL,3.039.730
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PT,
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,RO,453
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SE,1.131.768
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SI,78
Only for VLOPs and VLOSEs,Zalando,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SK,220
