Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,144,0,140,,"413,65",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,"Covers content violating Zalando's Community Guidelines ""4. Content Quality and Integrity"" that is not captured by other sub-categories.",44,0,42,,"165,40",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,12,0,12,,"199,69",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,1,0,1,,"505,73",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,4,0,4,,"370,95",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,"Covers content violating Zalando's Product & Brand Guidelines (T&Cs 2.5-2.6) or Community Guidelines ""1. Safety and Wellbeing"" that is not captured by other sub-categories.",7,0,7,,"140,95",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,146,0,134,,"215,30",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,16,0,16,,"134,85",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,46,0,44,,"306,32",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,22,0,19,,"282,40",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,"Covers content violating Zalando's Product & Brand Guidelines (T&Cs 2) or Community Guidelines ""2. Respectful Interaction"" that is not captured by other sub-categories.",62,0,61,,"215,30",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,64,0,61,,"131,73",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,20,0,20,,"105,36",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,6,0,6,,"111,33",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,1,0,1,,"194,77",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,2,0,2,,"29,19",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,25,0,23,,"183,93",,,,,,,,,,,,,,,
