Applicability,Service,Indicator,Value
All,Zalando,Name of the service provider,Zalando SE
All,Zalando,Date of the publication of the report,2026-02-27
All,Zalando,Date of the publication of the latest previous report,2025-08-25
All,Zalando,Starting date of reporting period,2025-07-01
All,Zalando,Ending date of reporting period,2025-12-31
