Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"34,266,788"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,"1,135,912"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BE,"1,828,781"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CZ,"585,622"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DE,"11,199,168"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DK,"1,003,733"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,EE,"58,158"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,ES,"2,004,929"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FI,"520,771"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FR,"3,632,610"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,GR,"1,720"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HR,"224,510"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HU,"194,829"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IE,"109,056"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IT,"4,002,039"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LT,"109,914"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LU,"20,155"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LV,"58,478"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,NL,"2,591,541"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PL,"3,174,580"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PT,"4,402"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,RO,"384,968"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SE,"1,108,881"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SI,"81,808"
Only for VLOPs and VLOSEs,Zalando,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SK,"230,916"
