Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Grindr,2025-02-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,N/A to Grindr
Only for VLOPs and VLOSEs,Grindr,2025-02-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,N/A to Grindr
Only for VLOPs and VLOSEs,Grindr,2025-02-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,[...],N/A to Grindr
Only for VLOPs and VLOSEs,Grindr,2025-02-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,N/A to Grindr
