Applicability,Service,Indicator,Value
All,Grindr,Name of the service provider,Grindr
All,Grindr,Date of the publication of the report,2026-02-27 00:00:00
All,Grindr,Date of the publication of the latest previous report,2025-02-17 00:00:00
All,Grindr,Starting date of reporting period,2025-02-01 00:00:00
All,Grindr,Ending date of reporting period,2025-12-31 00:00:00
