Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,
