Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction du compte - Suppression,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PHISHING,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,- Retrait d'un produit ayant fait l'objet d'un rappel (1),,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
