Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Ressources humaines chargées de la modération des contenus,Nombre de modérateurs employés sous contrat interne par le fournisseur,Nombre total,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Ressources humaines chargées de la modération des contenus,Nombre de modérateurs employés sous contrat externe par le fournisseur,Nombre total,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Ressources humaines chargées de la modération des contenus,Nombre total de modérateurs disposant de connaissances linguistiques suffisantes,Nombre total,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Ressources humaines chargées de la modération des contenus,Nombre total de modérateurs disposant de connaissances linguistiques suffisantes,bg,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Ressources humaines chargées de la modération des contenus,Nombre total de modérateurs disposant de connaissances linguistiques suffisantes,[...],,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Ressources humaines chargées de la modération des contenus,Nombre total de modérateurs disposant de connaissances linguistiques suffisantes,sv,,
