Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Flickr,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,203,0,0,0,,,0,,0,,,,0,,,203,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,203,0,0,0,,,0,,0,,,,0,,,203,Includes RTBF requests under GDPR and CCPA,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,Account deletion requests,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,Content removal requests,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
