Applicability,Service,Indicator,Value
All,Hosting Service,Name of the service provider,Riot Games
All,Hosting Service,Date of the publication of the report,2026-02-13 00:00:00
All,Hosting Service,Date of the publication of the latest previous report,2025-02-14 00:00:00
All,Hosting Service,Starting date of reporting period,2025-01-01 00:00:00
All,Hosting Service,Ending date of reporting period,2025-12-31 00:00:00
