National Security Letter (NSL) number,NSL issue date,FBI release letter date
NSL-18-460008,2018-10-26,2019-12-30
NSL-17-428084,2017-02-16,2019-12-12
NSL-17-428259,2017-02-24,2019-12-12
NSL-17-433391,2017-10-25,2019-12-12
NSL-17-427347,2017-02-10,2019-12-09
NSL-18-446688(a),2018-05-02,2019-09-17
NSL-17-431346(a),2017-08-28,2019-09-11
NSL-17-431346(b),2017-08-28,2019-09-11
NSL-16-422213,2016-05-12,2019-08-06
NSL-16-425207,2016-10-03,2019-06-07
NSL-12-350364,2012-05-16,2019-05-24
NSL-18-447570,2018-05-09,2019-05-20
NSL-16-423127,2016-06-08,2019-05-06
NSL-18-450995,2018-08-28,2019-05-06
NSL-18-463687,2018-12-06,2019-05-05
NSL-18-466228,2018-12-27,2019-05-05
NSL-18-440331,2018-03-05,2019-04-08
NSL-16-422831,2016-05-31,2019-02-01
NSL-18-444528,2018-04-15,2019-02-01
NSL-13-363789,2013-02-14,2019-01-14
NSL-18-453727,2018-08-09,2019-01-03
NSL-15-419883,2015-12-16,2018-12-19
NSL-15-412703,2015-03-02,2018-11-26
NSL-16-424845,2016-09-13,2018-11-19
NSL-15-417904,2015-08-24,2018-11-02
NSL-17-431971(a),2017-09-05,2018-05-02
NSL-17-431971(b),2017-09-05,2018-05-02
NSL-17-433558,2017-11-08,2018-04-13
NSL-15-412214,2015-03-05,2018-03-29
NSL-15-420122,2016-01-05,2018-01-22
NSL-17-431900,2017-08-22,2018-01-11
NSL-14-382011,2014-03-03,2018-01-10
NSL-16-421854,2016-05-05,2018-01-09
NSL-14-404710,2015-01-14,2017-09-25
NSL-14-404670,2014-12-10,2017-09-11
NSL-14-394005,2014-08-22,2017-09-07
NSL-14-395338,2014-09-11,2017-09-07
NSL-14-395538,2014-09-23,2017-09-07
NSL-14-403866,2014-11-05,2017-09-07
NSL-13-363616,2013-02-12,2017-08-31
NSL-16-421359,2016-03-21,2017-08-18
NSL-16-421818,2016-04-06,2017-07-19
NSL-09-264375,2009-12-29,2017-06-30
NSL-15-417720,2015-08-26,2017-06-29
NSL-13-368476,2013-07-23,2017-02-16
NSL-13-371318,2013-08-07,2017-02-02
NSL-10-323210,2010-12-30,2016-12-19
NSL-14-392192,2014-07-18,2016-12-14
NSL-14-394627,2014-09-02,2016-12-05
NSL-13-370805,2013-08-06,2016-11-14
NSL-14-395838,2014-09-11,2016-11-02
NSL-14-396103,2014-09-11,2016-11-02
NSL-14-396300,2014-09-23,2016-11-02
NSL-13-367024,2013-08-05,2016-10-31
NSL-15-418313,2015-09-21,2016-10-28
NSL-10-272979,2010-03-01,2016-10-11
NSL-15-417535,2015-08-07,2016-09-06
NSL-13-375880,2013-10-31,2016-07-08
