Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,2014472,1984765,2014472,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,510395,504649,510395,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,8982,8377,8982,0,0,0,0,0,0,0,0,0,0,0,0,0,"Since it may be difficult for the platform to proactively determine whether a design corresponds to an underlying patent, for a more conservative data reporting methodology, Category 7d encompasses data from Category 7b",,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,1495095,1471739,1495095,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
