Applicability,Service,Reporting period,Indicator,Value
All,Bumble,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,For detailed context please see our Transparency Report published in February 2026.
All,Bumble,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,For detailed context please see our Transparency Report published in February 2026.
All,Bumble,2025-01-01/2025-12-31,Qualitative description of the automated means,For detailed context please see our Transparency Report published in February 2026.
All,Bumble,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,For detailed context please see our Transparency Report published in February 2026.
All,Bumble,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,For detailed context please see our Transparency Report published in February 2026.
All,Bumble,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,For detailed context please see our Transparency Report published in February 2026.
