Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other"" linked to our Community Guidelines",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Cyprus,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Cyprus,,,,,1,,00:27:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Czechia,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Czechia,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Czechia,,,,,2,,03:12:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Czechia,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Finland,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Finland,,,,,,,,,,,,,,
