Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,el,0.991,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,hu,0.9979,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,ga,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,it,0.9994,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,lv,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,lt,0.9984,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,mt,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,pl,0.9983,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,pt,0.9985,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,ro,0.9929,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,sk,0.9946,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,sl,0.9984,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,es,0.9988,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,sv,0.9975,Google Shopping Automated Classification System
