Applicability,Service,Indicator,Value
All,Expedia,Name of the service provider,"Expedia, Inc."
All,Expedia,Date of the publication of the report,2026-02-27 00:00:00
All,Expedia,Date of the publication of the latest previous report,2025-03-18 00:00:00
All,Expedia,Starting date of reporting period,2025-01-01 00:00:00
All,Expedia,Ending date of reporting period,2025-12-31 00:00:00
