PROPRE INITIATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction du compte - Fin,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traque furtive (stalking) en ligne affectant les femmes,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Désinformation fondée sur le genre,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation illicite à la violence et à la haine à l’égard des femmes,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Partage non consenti de matériel (à caractère intime) affectant les femmes, y compris (d’images) d’abus sexuels à l’encontre des femmes (à l’exclusion des contenus représentant des mineurs)",,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Partage non consenti de matériel créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d’un tiers affectant les femmes (à l’exclusion des contenus représentant des mineurs),,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Aurte,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES DONNES ET VIOLATIONS DE LA VIE PRIVEE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation de données biométriques,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Falsification de données,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Absence de motif de traitement des données,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Droit à l’oubli numérique,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,DISCOURS ILLEGAL OU PREJUDICIABLE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Diffamation,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Discrimination,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation illicite à la violence et à la haine fondées sur des caractéristiques protégées (discours haineux),,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,ATTEINTES A LA PROPRIETE INTELLECTUELLE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux droits d'auteur,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contrefaçons de dessins ou modèles,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux indications géographiques,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux brevets,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation des secrets commericaux,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
