NOTIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notification,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour prendre une action (signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Non-respect de la réglementation en matière de détermination des prix,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,CYBER VIOLENCE,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Brimades et intimidation en ligne,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,Cyberharcelement,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation à la vioelnce ou à la haine en ligne,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traque furtive (stalking) en ligne,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Partage non consenti de matériel (à caractère intime), y compris (dimages) d'abus sexuels (à l'exclusion des contenus représentant des mineurs)",,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Partage non consenti de matériel crée à l'aide de technologie d'hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d'un tiers (à l'exclusion des contenus représentant des mineurs),,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,,0,0,0,0,0,0,,,,,,,,,,,,,,
