,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Champ d’application,Nombre d’injonctions d’agir contre des contenus illicites reçues,Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Nombre d’injonctions de fournir des informations,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Délai médian nécessaire pour donner suite à l’injonction de fournir des informations,Informations contextuelles sur Nombre d’injonctions d’agir contre des contenus illicites reçues,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Nombre d’injonctions de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction de fournir des informations
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES DONNES ET VIOLATIONS DE LA VIE PRIVEE,,Total,0,0,,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation de données biométriques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Falsification de données,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Absence de motif de traitement des données,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Droit à l’oubli numérique,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,DISCOURS ILLEGAL OU PREJUDICIABLE,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Diffamation,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Discrimination,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation illicite à la violence et à la haine fondées sur des caractéristiques protégées (discours haineux),,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,ATTEINTES A LA PROPRIETE INTELLECTUELLE,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux droits d'auteur,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contrefaçons de dessins ou modèles,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux indications géographiques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux brevets,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation des secrets commericaux,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux marques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autres,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,EFFETS NEFATIFS SUR LE DISCOURS CIVIQUE ET LES PROCESSUS ELECTORAUX,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Mésinformation, désinformation, activités de manipulation de l’information et d’ingérence menées depuis l’étranger",,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation du droit de l’UE relatif au discours civique ou aux processus électoraux,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation du droit national relatif au discours civique ou aux processus électoraux,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES MINEURS,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Restrictions liées à l’âge concernant les mineurs,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus à caractère pédopornographique,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Matériel relatif à des abus sexuels sur enfants créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Pédopiégeage/soustraction de mineurs à des fins sexuelles,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Défis dangereux,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,RISQUE POUR LA SECURITE PUBLIQUE,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Organisations illégales,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Risque de dommages environnementaux,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Risque pour la santé publique,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus à caractère terroriste,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,ESCROQUERIES ET/OU FRAUDES,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Imposture ou piratage de compte,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Comptes non authentiques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Annonces non authentiques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Avis d’utilisateur non authentiques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Hameçonnage,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Systèmes de vente pyramidale,,Total,0,0,0,0,0,0,0,,,,,,,
