Recours et récidive,,,,,,,
,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Délai médian,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Délai médian,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Délai médian,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Délai médian,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions non prises,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Pourcentage des résultats mis en œuvre,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la fourniture de contenus manifestement illicites,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la soumission de notifications manifestement infondées,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la soumission de réclamations manifestement infondées,Nombre total,0,
