Applicability,Service,Indicator,Value
All,Amazon Store,Name of the service provider,Amazon Store
All,Amazon Store,Date of the publication of the report,2026-08-31 00:00:00
All,Amazon Store,Date of the publication of the latest previous report,2026-04-29 00:00:00
All,Amazon Store,Starting date of reporting period,2026-01-01 00:00:00
All,Amazon Store,Ending date of reporting period,2026-06-30 00:00:00
