Applicability,Service,Indicator,Value
All,,Name of the service provider,ABOUT YOU SE & Co. KG
All,,Date of the publication of the report,2025-12-04 00:00:00
All,,Date of the publication of the latest previous report,n/a
All,,Starting date of reporting period,2024-12-04 00:00:00
All,,Ending date of reporting period,2025-12-03 00:00:00
