Applicability,Service,Reporting period,Indicator,Value
All,,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"""Działania reaktywne:  

Ceneo.pl przeprowadza moderacje treści zgodnie z obowiązującymi w Polsce przepisami na podstawie i po rozpatrzeniu otrzymywanych zgłoszeń. Cenep.pl zapewnia możliwość zainicjowania zgłoszenia do treści hostingowych widocznych w serwisie (np. wypowiedzi użytkowników takich jak opinie konsumenckie) z poziomu interfejsu stron ceneo.pl w odpowiedniej do rozpatrywania kategorii tematycznej (naruszenia zasad serwisu bądź skarga prawna). Każde zgłoszenie jest odnotowywane i indywidualnie rozpatrywane przez naszych specjalistów procesu moderacji – w przypadku potwierdzenia naruszenia regulaminu serwisu lub prawa dostęp do treści podlega ograniczeniu (treść jest blokowana lub usuwana w całości lub w części).  


Działania z inicjatywy własnej (wykrycie nadużycia bez zgłoszenia):  

Nasi specjaliści mogą korzystać z narzędzi moderujących, takich jak ograniczenie widoczności treści (blokada lub usunięcie treści w całości lub w części) proaktywnie, tj. w sytuacji niepoprzedzonej zewnętrznym zgłoszeniem, w szczególności w przypadku napotkania treści ewidentnie naruszającej zasady regulaminu serwisu. 

 
W raportowanym okresie Ceneo.pl nie stosowało jednak moderacji z własnej inicjatywy, która polegałaby na dołączaniu - do konkretnej przechowywanej w serwisie treści użytkownika - dodatkowych oznaczeń lub etykiet ostrzegających przed konkretną treścią (tzw. miekkie ograniczenia moderacji nie były stosowane w raportowanym okresie)."""
All,,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"""Interfejs ceneo.pl zapewnia łatwą możliwość zgłoszenia treści, co stanowi podstawę naszych reaktywnych działań do treści opublikowanych przez użytkowników serwisu. Dostosowaliśmy swoje działania by priorytetowo i indywidualnie rozpatrywać otrzymane tą drogą wiadomości, a w przypadku potwierdzenia zasadności zgłoszenia i wykrycia w ten sposób konkretnej treści naruszającej zasady serwisu - podejmować niezwłoczne działania polegające m.in. na uniemożliwieniu do niej dostępu. 

W przypadku przeprowadzania moderacji wobec opublikowanej już treści z tzw. inicjatywy wlasnej (bez informacji pochodzącej z zewnętrznego źródła) - opieramy się na wiedzy eksperckiej naszych specjalistów, dotyczącej przede wszystkim regulaminowych zasad świadczenia przez nas usług i obowiązujących przepisów dotyczących ingerencji w treść użytkownika.  
"""
All,,2025-01-01/2025-12-31,Qualitative description of the automated means,"Nie dotyczy – Ceneo.pl nie stosuje zautomatyzowanych środków moderacji treści, którą opublikował użytkownik - Ceneo.pl przeprowadza moderacje zawartości serwisu w oparciu o otrzymane zgłoszenia lub z udziałem wykwalifikowanego zespołu moderacyjnego."
All,,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Nie dotyczy – Ceneo.pl nie stosuje zautomatyzowanych środków moderacji treści, którą opiblikował użytkownik - Ceneo.pl przeprowadza moderacje w oparciu o otrzymane zgłoszenia lub z udziałem wykwalifikowanego zespołu moderacyjnego."
All,,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,"Nie dotyczy – Ceneo.pl nie stosuje zautomatyzowanych środków moderacji treści, którą opiblikował użytkownik - Ceneo.pl przeprowadza moderacje w oparciu o otrzymane zgłoszenia lub z udziałem wykwalifikowanego zespołu moderacyjnego."
All,,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,Nie dotyczy – Ceneo.pl nie stosuje zautomatyzowanych środków moderacji treści - Ceneo.pl przeprowadza moderacje w oparciu o otrzymane zgłoszenia lub z udziałem wykwalifikowanego zespołu moderacyjnego.
Only for VLOPs,,2025-01-01/2025-12-31,High-level description of the content moderation governance structure,Nie dotyczy – Ceneo.pl nie posiada statusu VLOSE (very large online search engines - bardzo dużej wyszukiwarki) lub VLOP very large online platforms (bardzo dużej platformy)
Only for VLOPs,,2025-01-01/2025-12-31,Qualifications of the human resources dedicated to content moderation,Nie dotyczy – Ceneo.pl nie posiada statusu VLOSE (very large online search engines - bardzo dużej wyszukiwarki) lub VLOP very large online platforms (bardzo dużej platformy)
Only for VLOPs,,2025-01-01/2025-12-31,Training given to human resources dedicated to content moderation,Nie dotyczy – Ceneo.pl nie posiada statusu VLOSE (very large online search engines - bardzo dużej wyszukiwarki) lub VLOP very large online platforms (bardzo dużej platformy)
Only for VLOPs,,2025-01-01/2025-12-31,Support given to human resources dedicated to content moderation,Nie dotyczy – Ceneo.pl nie posiada statusu VLOSE (very large online search engines - bardzo dużej wyszukiwarki) lub VLOP very large online platforms (bardzo dużej platformy)
Only for VLOPs,,2025-01-01/2025-12-31,Methodology used to compute the number of human resources dedicated to content moderation,Nie dotyczy – Ceneo.pl nie posiada statusu VLOSE (very large online search engines - bardzo dużej wyszukiwarki) lub VLOP very large online platforms (bardzo dużej platformy)
