Applicability,Service,Indicator,Value
All,Ceneo.pl,Name of the service provider,Ceneo.pl Sp. z o.o.
All,Ceneo.pl,Date of the publication of the report,2026-02-28 00:00:00
All,Ceneo.pl,Date of the publication of the latest previous report,2025-02-17 00:00:00
All,Ceneo.pl,Starting date of reporting period,2025-01-01 00:00:00
All,Ceneo.pl,Ending date of reporting period,2025-12-31 00:00:00
