Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,"34,274,119"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,AT,"668,384"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BE,"951,385"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BG,"548,296"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CY,"44,832"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CZ,"517,892"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DE,"2,623,237"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DK,"549,843"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,EE,"6,035"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,ES,"4,648,814"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FI,"501,346"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FR,"2,809,676"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,GR,"1,178,721"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HR,"567,484"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HU,"1,041,644"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IE,"553,813"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IT,"8,500,439"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LT,"192,557"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LU,"43,804"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LV,"224,920"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,MT,"54,401"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,NL,"1,201,436"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PL,"2,641,221"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PT,"1,128,790"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,RO,"1,839,734"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SE,"825,571"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SI,"123,485"
Only for VLOPs and VLOSEs,XNXX.COM,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SK,"286,359"
