Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"1,416",2,"1,438",11,10.57,5.92,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,This subcategory encompasses notices received through our European Union Illegal Content Reporting Form for violations of privacy.,"1,416",2,"1,438",11,10.50,5.92,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,617,0,621,0,16.10,0,,,,,,,,,,"During the reporting period, we did not receive any notices related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,177,0,180,0,16.26,0,,,,,,,,,,"During the reporting period, we did not receive any notices related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,,,
