Applicability,Service,Indicator,Value
All,Pinterest,Name of the service provider,Pinterest
All,Pinterest,Date of the publication of the report,2026-02-26
All,Pinterest,Date of the publication of the latest previous report,2025-10-09
All,Pinterest,Starting date of reporting period,2025-07-01
All,Pinterest,Ending date of reporting period,2025-12-31
