Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,sv,92684,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,bg,187,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,hr,133,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,cs,419,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,da,57,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,nl,1443,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,en,9232,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,et,30,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,fi,90,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,fr,19251,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,de,4014,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,el,558,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,hu,180,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,ga,1,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,it,1862,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,lv,25,
