Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,1813995,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,749536,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,1813995,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,749536,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy - Audio ML,Own-initiative,0.9565,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Precision - Audio ML,Own-initiative,0.8423,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Recall - Audio ML,Own-initiative,0.37,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy - Experience,Own-initiative,0.9964,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Precision - Experience,Own-initiative,0.947,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Recall - Experience,Own-initiative,0.69,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy - Image,Own-initiative,0.9585,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Precision - Image,Own-initiative,0.7735,
All,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Recall - Image,Own-initiative,0.5422,
Only for providers of hosting services. including online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,0,
Only for providers of hosting services. including online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,409852,
Only for providers of hosting services. including online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,
Only for providers of hosting services. including online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,
Only for providers of hosting services. including online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,
Only for providers of online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,62,
Only for providers of online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,
Only for providers of online platforms,Roblox Corporation,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,bg,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,[...],,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,sv,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,bg,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,[...],,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sv,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
