Applicability,Service,Indicator,Value
All,Roblox Corporation,Name of the service provider,Roblox Corporation
All,Roblox Corporation,Date of the publication of the report,2026-02-27 00:00:00
All,Roblox Corporation,Date of the publication of the latest previous report,2025-02-14 00:00:00
All,Roblox Corporation,Starting date of reporting period,2025-01-01 00:00:00
All,Roblox Corporation,Ending date of reporting period,2025-12-31 00:00:00
