Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,2,0,2,0,7,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,141,0,112,0,47,0,0,0,8,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,22,0,19,0,71,0,0,0,2,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,21,0,20,0,74,0,0,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,47,0,37,0,3,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,51,0,42,0,5,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,179,9,246,17,30,0,1,0,79,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,119,0,182,0,30,0,0,0,74,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,35,0,33,0,21,0,1,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,25,9,35,17,250,0,0,0,2,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,978,0,810,0,696,0,0,0,289,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,742,0,626,0,690,0,0,0,267,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,30,0,27,0,10,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,7,0,7,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,18,0,19,0,31,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,9,0,9,0,6,0,0,0,2,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,172,0,142,0,2249,0,0,0,20,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,39,0,37,0,142,0,0,0,26,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,6,0,6,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,2,0,2,0,120,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,31,0,30,0,145,0,0,0,25,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
