Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual information on Number of measures taken at the provider's own initiative,Contextual information on Number of measures taken after detection with solely automated means,Contextual information on Visibility restriction Removal,Contextual information on Visibility restriction Disable,Contextual information on Visibility restriction Demoted,Contextual information on Visibility restriction Age restricted,Contextual information on Visibility restriction Interaction restricted,Contextual information on Visibility restriction Labelled,Contextual information on Visibility restriction Other,Contextual information on Monetary restriction Suspension,Contextual information on Monetary restriction Termination,Contextual information on Monetary restriction Other,Contextual information on Provision of the service Suspension,Contextual information on Provision of the service Termination,Contextual information on Account restriction Suspension,Contextual information on Account restriction Termination,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,29280,668,29254,,0,,,,0,,,,0,23,0,3,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,28730,482,28704,,0,,,,0,,,,0,23,0,3,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,187,183,187,,0,,,,0,,,,0,0,0,0,"On 20-22 May 2026, due to a bug, LinkedIn temporarily removed and sent statements of reasons for certain content as Non-consensual intimate imagery. These temporary removals are not reflected in this report, as the content was actioned in error and unilaterally reinstated by LinkedIn. ",,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER_SEXUAL_HARASSMENT,,363,3,363,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,50688,35097,47091,,0,,,,0,,,,3540,43,0,14,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,166,4,161,,0,,,,0,,,,0,0,0,5,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,37932,34883,34392,,0,,,,0,,,,3540,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,12590,210,12538,,0,,,,0,,,,0,43,0,9,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,759,8,686,,0,,,,0,,,,0,0,0,73,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,631,8,630,,0,,,,0,,,,0,0,0,1,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
