Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted flaggers (Trusted flagger notices),Median time to take action,Median time to take action (Trusted flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted flaggers (Trusted flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted flagger notices),
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,887,0,860,0,805,0,0,0,416,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,239,0,216,0,6,0,0,0,36,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,20,0,19,0,6,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,51,0,53,0,9,0,0,0,6,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,92,0,74,0,23,0,0,0,9,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,349,0,451,0,2276,0,0,0,64,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,16,0,17,0,76,0,0,0,4,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,105,0,95,0,290,0,0,0,3,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,28,0,29,0,12,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,41,0,42,0,335,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,33,0,23,0,290,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,3,0,3,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,42,0,36,0,41,0,0,0,5,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,19,0,18,0,67,0,0,0,4,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,4,0,3,0,17,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,8,0,8,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,8,0,5,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,88,0,83,0,70,0,1,0,5,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,40,0,37,0,51,0,1,0,2,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,25,0,22,0,29,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,10,0,10,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,11,0,12,0,179,0,0,0,2,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,658,0,619,0,116,0,0,0,213,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,56,0,56,0,29,0,0,0,15,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,61,0,62,0,33,0,0,0,20,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,263,0,249,0,181,0,0,0,65,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,16,0,15,0,24,0,0,0,2,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_PHISHING,,92,0,77,0,221,0,0,0,21,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,58,0,54,0,195,0,0,0,7,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,112,0,114,0,115,0,0,0,85,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,8,0,7,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,4,0,3,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,3,0,3,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,377,0,353,0,157,0,0,0,141,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,150,0,142,0,291,0,0,0,33,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,178,0,170,0,265,0,0,0,70,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,49,0,48,0,80,0,0,0,38,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,57,0,59,0,100,0,0,0,8,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,11,0,12,0,35,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,17,0,18,0,100,0,0,0,3,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,20,0,19,0,167,0,0,0,4,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,5,0,6,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
